feature_id	IL4_direction	IL4_nominal	IL4_FDR_significant	IL4_log2FC	IL4_P	IL4_FDR	IL13_direction	IL13_nominal	IL13_FDR_significant	IL13_log2FC	IL13_P	IL13_FDR
hsa-miR-214-3p	up	FALSE	FALSE	0.180778491840621	0.586589986678914	0.832606329166219	down	FALSE	FALSE	-0.297563693171517	0.23899521093138	0.753091701676768
hsa-miR-125a-3p	down	FALSE	FALSE	-0.163462780884173	0.347381976400987	0.71519809890531	down	FALSE	FALSE	-0.192275266221778	0.287440001182243	0.753091701676768
hsa-miR-199a-3p	down	FALSE	FALSE	-0.220830030125875	0.202344010341997	0.71519809890531	down	FALSE	FALSE	-0.17491814243872	0.276001928802758	0.753091701676768
hsa-miR-622	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
hsa-miR-3691-3p	up	FALSE	FALSE	0.40654107463009	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-181a-2-3p	down	FALSE	FALSE	-0.389582913309399	0.116902110580861	0.71519809890531	down	TRUE	FALSE	-0.493849965276898	0.0017321656619406	0.753091701676768
hsa-miR-665	up	FALSE	FALSE	0.657518210619552	0.328682289984914	0.71519809890531	up	FALSE	FALSE	0.408448219241563	0.526717755283009	0.828586933325599
hsa-miR-181a-3p	down	FALSE	FALSE	-0.440069093890384	0.126267033466868	0.71519809890531	down	FALSE	FALSE	-0.416205525949132	0.135880034756928	0.753091701676768
hsa-miR-4286	up	FALSE	FALSE	0.62858843537133	0.459867177838437	0.747659872466087	up	FALSE	FALSE	1.08085039228641	0.243957971451537	0.753091701676768
hsa-miR-1247-5p	down	FALSE	FALSE	-0.952972361435561	0.244422439344028	0.71519809890531	down	FALSE	FALSE	-0.952972361435561	0.244422439344028	0.753091701676768
hsa-miR-454-5p	down	FALSE	FALSE	-0.628089313935129	0.270560042958854	0.71519809890531	down	FALSE	FALSE	-0.415738984028417	0.418832836233063	0.753091701676768
hsa-miR-4485-5p	up	FALSE	FALSE	0.309380645199211	0.701723405431138	0.887914676632046	down	FALSE	FALSE	-0.276486745264041	0.734817325763354	0.92958728783744
hsa-miR-6827-3p	up	FALSE	FALSE	1.1285376582008	0.21364644922837	0.71519809890531	up	FALSE	FALSE	0.332810802940831	0.422649730810374	0.753091701676768
hsa-miR-1973	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.115793717367956	0.824842764995445	0.955943601815913
hsa-miR-132-5p	down	TRUE	FALSE	-0.839778580682242	0.02679529388684	0.71519809890531	down	FALSE	FALSE	-0.427087499074842	0.498479709913942	0.805678707019931
hsa-miR-10401-3p	down	FALSE	FALSE	-0.465634781425865	0.565954713939202	0.816123101984792	up	FALSE	FALSE	0.36798661545579	0.630974595914204	0.902290408555646
hsa-miR-544b	up	FALSE	FALSE	1.05924607094666	0.186334429734311	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-221-5p	down	FALSE	FALSE	-0.282977009336632	0.483693141422342	0.760307544573824	down	FALSE	FALSE	-0.229630396518942	0.531057201222295	0.828586933325599
hsa-miR-1248	up	FALSE	FALSE	0.588201951692799	0.47725970690683	0.752572754948171	down	FALSE	FALSE	-0.386180737201106	0.698968892518839	0.916516159024411
hsa-miR-212-5p	down	FALSE	FALSE	-0.303618664871436	0.825460207543081	0.926592940330686	up	FALSE	FALSE	0.121616587597548	0.936550122161519	0.977903786274147
hsa-miR-1249-3p	down	FALSE	FALSE	-0.842859330260774	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.574429030551403	0.574285900921592	0.857164509503919
hsa-miR-137-5p	up	FALSE	FALSE	0.040776168378722	0.953599986431037	0.975161342753219	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-125b-1-3p	down	FALSE	FALSE	-0.30649767081449	0.439256022367286	0.728944730157316	down	FALSE	FALSE	-0.23850673601499	0.540220821195206	0.829286348325974
hsa-miR-6758-3p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
hsa-miR-766-3p	up	FALSE	FALSE	0.40654107463009	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-136-5p	up	TRUE	FALSE	0.218598891722366	0.0421635440663498	0.71519809890531	up	FALSE	FALSE	0.241096077236045	0.328524982595658	0.753091701676768
hsa-miR-1307-3p	down	TRUE	FALSE	-0.510502275330706	0.00940927042506817	0.71519809890531	down	FALSE	FALSE	-0.0742916932658613	0.493045240469535	0.802631786810871
hsa-miR-130b-5p	down	FALSE	FALSE	-0.87533651178359	0.220864212183068	0.71519809890531	down	FALSE	FALSE	-0.0453734225932818	0.902555921254638	0.972857097713563
hsa-miR-5187-3p	down	FALSE	FALSE	-0.754193397943312	0.616207581594061	0.843511888970432	down	FALSE	FALSE	-0.711973620135822	0.637467811853459	0.906966398978498
hsa-miR-29a-5p	down	FALSE	FALSE	-0.100517060706043	0.797602928124081	0.922507172387301	down	FALSE	FALSE	-0.184074250837317	0.624704428736564	0.896675148607141
hsa-miR-17-3p	up	TRUE	FALSE	0.434589776587623	0.0409185843964132	0.71519809890531	up	FALSE	FALSE	0.329249433894778	0.201454947493788	0.753091701676768
hsa-miR-20a-3p	up	FALSE	FALSE	0.186738882352048	0.525587854542389	0.786405887623574	up	FALSE	FALSE	0.209742578610233	0.440388277707358	0.765965202932043
hsa-miR-18a-3p	up	FALSE	FALSE	0.658944412140231	0.433656193831878	0.722115804270884	down	FALSE	FALSE	-0.319892141102831	0.684682581294785	0.916516159024411
hsa-miR-93-3p	up	FALSE	FALSE	0.105655509921865	0.735662403290496	0.900762210036989	down	FALSE	FALSE	-0.348406437490898	0.306399872830558	0.753091701676768
hsa-miR-378i	down	FALSE	FALSE	-0.620415836478551	0.552744186282663	0.809002632923718	up	FALSE	FALSE	0.478134487429054	0.604029075269276	0.880875734767693
hsa-miR-422a	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.181165605560822	0.821797755731523	0.955943601815913
hsa-miR-378f	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.759435154265068	0.422649730810374	0.753091701676768
hsa-miR-378d	down	FALSE	FALSE	-0.693705237896197	0.620574634022366	0.843511888970432	down	FALSE	FALSE	-0.729282410830639	0.593821375532568	0.871798752831852
hsa-miR-378c	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
hsa-miR-378a-3p	down	FALSE	FALSE	-0.377968548946402	0.0932647891918466	0.71519809890531	down	FALSE	FALSE	-0.0849970585553095	0.714009731506636	0.916516159024411
hsa-miR-378e	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-3176	up	FALSE	FALSE	0.485404222313613	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.687093648868683	0.183901820867777	0.753091701676768
hsa-miR-664a-5p	down	FALSE	FALSE	-0.18049021543509	0.825957247164412	0.926592940330686	down	FALSE	FALSE	-0.0361010382484004	0.956904927160489	0.983958067147146
hsa-miR-378g	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-4667-5p	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-643	up	FALSE	FALSE	0.333322730919025	0.640374500192768	0.851835063759096	up	FALSE	FALSE	0.368024270912694	0.618024988445217	0.892809133895162
hsa-miR-10522-5p	up	FALSE	FALSE	0.573841848633043	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-3179	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.332810802940831	0.422649730810374	0.753091701676768
hsa-miR-548ax	up	FALSE	FALSE	0.610616157426391	0.32611324857405	0.71519809890531	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.753091701676768
hsa-miR-219b-3p	up	FALSE	FALSE	0.292512709115732	0.679182974574567	0.873109896255419	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.753091701676768
hsa-miR-642a-3p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.944433181573272	0.216914531482376	0.753091701676768
hsa-miR-4645-3p	up	FALSE	FALSE	0.62364792046265	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
hsa-miR-3913-3p	up	FALSE	FALSE	0.26226044081275	0.766927389613417	0.904138332541883	up	FALSE	FALSE	0.0306758962773492	0.97045516704913	0.990561091164784
hsa-miR-504-5p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.556055503997142	0.422649730810374	0.753091701676768
hsa-miR-3160-3p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.397122856885267	0.422649730810374	0.753091701676768
hsa-miR-27b-5p	down	FALSE	FALSE	-0.154179378821478	0.636953677975758	0.850696522934066	up	FALSE	FALSE	0.510466213149027	0.162223304102571	0.753091701676768
hsa-miR-1185-5p	up	FALSE	FALSE	0.357392710107114	0.53527636276041	0.796256841459516	up	FALSE	FALSE	1.02160714230282	0.116020462543115	0.753091701676768
hsa-miR-6884-5p	up	FALSE	FALSE	0.772683242824224	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-485-5p	down	FALSE	FALSE	-0.937982195050499	0.297676731964172	0.71519809890531	down	FALSE	FALSE	-0.444525544379213	0.441807861349977	0.765965202932043
hsa-miR-4458	up	FALSE	FALSE	0.52273057243827	0.489053884318122	0.76270942773751	up	FALSE	FALSE	0.301782803440205	0.754217568124854	0.938893632400183
hsa-let-7d-5p	down	TRUE	FALSE	-0.315867433215377	0.0247632459887237	0.71519809890531	down	FALSE	FALSE	-0.0839713877547936	0.469502642090974	0.791764720493732
hsa-miR-655-5p	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-377-5p	up	FALSE	FALSE	1.03391575755738	0.455150200824793	0.741633049444041	up	FALSE	FALSE	0.837031945945351	0.310302680535811	0.753091701676768
hsa-miR-4785	down	FALSE	FALSE	-0.902280404759753	0.183588470583717	0.71519809890531	down	FALSE	FALSE	-0.902280404759753	0.183588470583717	0.753091701676768
hsa-miR-4424	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.753091701676768
