circRNA	circRNA_type	GeneSymbol	P	log10FC	reg	sig
hsa_circRNA_406640	intronic	CAST	0.340418230111401	-0.0148672775422726	down	no
hsa_circRNA_077879	exonic	RPS12	0.151552468167071	0.118804908467003	up	no
hsa_circRNA_006750	exonic	TBC1D12	0.18166944908523	0.0449982342800501	up	no
hsa_circRNA_002912	exonic	KIF15	0.0713712328688949	0.033096109691022	up	no
hsa_circRNA_027588	exonic	LOC100507377	0.144673148086698	0.0675429386355507	up	no
hsa_circRNA_103730	exonic	PRDM5	0.283255395689577	0.0514942485954936	up	no
hsa_circRNA_003033	exonic	RAP1GDS1	0.116797828912148	0.152160000448151	up	no
hsa_circRNA_000564	exonic	DICER1	0.459212314236013	0.0195355830629535	up	no
hsa_circRNA_100167	exonic	KIAA0319L	0.074782350503094	0.0756843697829523	up	no
hsa_circRNA_101805	exonic	PHKB	0.127197615896612	0.116758728205335	up	no
hsa_circRNA_077745	exonic	C6orf170	0.242911892814459	0.058531778597104	up	no
hsa_circRNA_016661	exonic	ENAH	0.283191153381227	0.0666646886256289	up	no
hsa_circRNA_083127	exonic	LMBR1	0.322623672294981	0.018314845830883	up	no
hsa_circRNA_036127	exonic	THSD4	0.408123869829437	0.0250486332790464	up	no
hsa_circRNA_404401	exonic	DOCK11	0.0967451789420036	0.135039063512626	up	no
hsa_circRNA_031210	exonic	DAD1	0.0284884007767022	0.0387032201152724	up	no
hsa_circRNA_100594	exonic	None	0.3216860783362	0.0472157511141124	up	no
hsa_circRNA_100356	exonic	GON4L	0.0583522124403905	0.103063167474195	up	no
hsa_circRNA_407231	exonic	WDR31	0.0938919402878792	0.145214692582611	up	no
hsa_circRNA_004145	sense overlapping	SKP1	0.180972874755051	0.0949788865359835	up	no
hsa_circRNA_406172	intronic	PI4KA	0.118708286647057	0.0612696567389226	up	no
hsa_circRNA_103495	exonic	MBNL1	0.0365929447767293	0.0716334662123383	up	no
hsa_circRNA_402418	exonic	TTN-AS1	0.0137158510410607	0.0635617804292012	up	no
hsa_circRNA_103308	exonic	RARB	0.0282500908752964	0.051841332237934	up	no
hsa_circRNA_054547	exonic	PSME4	0.322172884649067	0.0449482100460965	up	no
hsa_circRNA_103492	exonic	RNF13	0.18139745311615	0.0416375037007471	up	no
hsa_circRNA_405568	exonic	SLFN12L	0.0231822146639907	0.0672063023254599	up	no
hsa_circRNA_006861	exonic	PHF3	0.0848204647456618	0.20151333906075	up	no
