feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-3183	hsa-miR-3183	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-370-3p	hsa-miR-370-3p	0.134993203021735	0.784076713268269	0.955943601815913	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4254	hsa-miR-4254	-0.444628053934891	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320a-5p	hsa-miR-320a-5p	-0.045903254589873	0.955793015187828	0.983958067147146	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-551b-3p	hsa-miR-551b-3p	-0.457652350824863	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10392-5p	hsa-miR-10392-5p	0.397122856885267	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4508	hsa-miR-4508	0.0669841215924807	0.861411893719788	0.971361552309387	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4521	hsa-miR-4521	1.98712080379474	0.0744395939355222	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-138-1-3p	hsa-miR-138-1-3p	-0.239244258343726	0.69044909257619	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6870-3p	hsa-miR-6870-3p	0.527624000121103	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-301b-5p	hsa-miR-301b-5p	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
