feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000065029	ZNF76	ZNF76	0.0385783548345901	0.704729735938473	0.94060285247743	FALSE	FALSE	up
ENSG00000065054	NHERF2	NHERF2	-0.00810167370924334	0.93052756598609	0.987448967271993	FALSE	FALSE	down
ENSG00000065057	NTHL1	NTHL1	-0.199814330947517	0.154395748226344	0.563557872902671	FALSE	FALSE	down
ENSG00000065060	BLTP3A	BLTP3A	-0.0523524613609036	0.574166470064916	0.894966119230672	FALSE	FALSE	down
ENSG00000065135	GNAI3	GNAI3	0.0510942253769126	0.530250356342314	0.874070228806094	FALSE	FALSE	up
ENSG00000065150	IPO5	IPO5	-0.0639153559526273	0.421003409938014	0.815737270060099	FALSE	FALSE	down
ENSG00000065154	OAT	OAT	0.0098739260262239	0.901928588452934	0.98113354815495	FALSE	FALSE	up
ENSG00000065183	WDR3	WDR3	-0.230566386088982	0.041438827225112	0.275936852840101	FALSE	FALSE	down
ENSG00000065243	PKN2	PKN2	0.0667289875282902	0.43585394836044	0.824935112817254	FALSE	FALSE	up
ENSG00000065268	WDR18	WDR18	-0.0269601690177243	0.812940571814826	0.965867752669436	FALSE	FALSE	down
ENSG00000065308	TRAM2	TRAM2	0.0738172942232359	0.339833953998358	0.76522777575853	FALSE	FALSE	up
ENSG00000065320	NTN1	NTN1	2.38327663745704	2.9128666769249e-20	6.68383522572422e-18	TRUE	TRUE	up
ENSG00000065325	GLP2R	GLP2R	-0.185944286297124	0.495960697401925	0.860718913283542	FALSE	FALSE	down
ENSG00000065328	MCM10	MCM10	-0.145125964333736	0.288448568830248	0.725087507574922	FALSE	FALSE	down
ENSG00000065357	DGKA	DGKA	-0.191761462950798	0.16952604877103	0.586469625469131	FALSE	FALSE	down
ENSG00000065413	ANKRD44	ANKRD44	-0.181047352203064	0.527251654138019	0.873639099400482	FALSE	FALSE	down
ENSG00000065427	KARS1	KARS1	0.0688518976513008	0.439459294659653	0.828269049698574	FALSE	FALSE	up
ENSG00000065457	ADAT1	ADAT1	-0.0630589768385198	0.557313645106239	0.888355396378049	FALSE	FALSE	down
ENSG00000065485	PDIA5	PDIA5	-0.0443009904613187	0.614238180283765	0.906143740454453	FALSE	FALSE	down
ENSG00000065491	TBC1D22B	TBC1D22B	-0.0628403241113934	0.646525839360426	0.919779949609277	FALSE	FALSE	down
ENSG00000065518	NDUFB4	NDUFB4	-0.058010663713136	0.476868771996771	0.850863602525735	FALSE	FALSE	down
ENSG00000065526	SPEN	SPEN	0.00212966778108149	0.978531964935513	0.996486443929456	FALSE	FALSE	up
ENSG00000065534	MYLK	MYLK	-0.857532437179711	6.66695059202268e-05	0.00189284599262761	TRUE	TRUE	down
ENSG00000065548	ZC3H15	ZC3H15	0.0683410094097647	0.423311743534644	0.81610221279149	FALSE	FALSE	up
ENSG00000065559	MAP2K4	MAP2K4	-0.161161501424456	0.10856322537647	0.478379085467981	FALSE	FALSE	down
ENSG00000065600	PACC1	PACC1	0.292703822309942	0.0936062609503051	0.439519233318155	FALSE	FALSE	up
ENSG00000065613	SLK	SLK	0.0704179691650446	0.450428948302836	0.835711568904704	FALSE	FALSE	up
